1997-01-02,000001,000002,000003,
1997-01-03,,,000005,
2019-8-1,000001,000015,000016,000020,000021,000023,000031,000050,000066,000100,000157,000408,000416,000425,000515,000520,000527,000528,000529,000531,000534,000542,000547,000549,000562,000563,000567,000578,000582,000586,000589,000598,000603,000608,000612,000625,000627,000658,000680,000691,000690,000698,000725,000787,000813,000823,000868,000878,000897,000902,000938,000949,000950,000985,000993,000997,002004,002011,002025,002028,002036,002045,002049,002052,002063,002084,002100,002106,002109,002108,002111,002119,002120,002123,002129,002132,002138,002142,002158,002161,002169,002179,002180,002182,002185,002187,002194,002199,002201,002208,002236,002241,002253,002262,002268,002281,002285,002296,002298,002302,002319,002335,002352,002361,002362,002379,002384,002385,002387,002389,002396,002409,002415,002422,002423,002426,002450,002455,002463,002475,002482,002505,002521,002524,002533,002538,002560,002579,002583,002585,002587,002597,002600,002609,002615,002617,002634,002639,002641,002642,002655,002660,002664,002669,002689,002691,002692,002697,002714,002724,002725,002732,002733,002785,002792,002796,002835,002838,002845,002850,002868,002891,002892,002897,002909,002912,002917,300005,300024,300029,300031,300034,300039,300042,300059,300065,300088,300114,300122,300124,300128,300133,300151,300155,300165,300167,300186,300193,300201,300208,300211,300213,300214,300215,300222,300241,300244,300256,300274,300276,300277,300291,300294,300303,300308,300316,300322,300331,300339,300353,300354,300355,300363,300369,300378,300383,300393,300394,300417,300416,300423,300424,300434,300445,300447,300450,300455,300462,300465,300474,300476,300477,300480,300485,300486,300488,300492,300497,300499,300502,300528,300533,300537,300549,300569,300570,300581,300585,300589,300602,300616,300622,300624,300632,300635,300647,300655,300661,300671,300679,300680,300682,300699,300700,300703,300716,300718,300719,300735,300738,600005,600018,600025,600031,600098,600113,600139,600177,600183,600193,600238,600263,600267,600296,600299,600312,600333,600352,600370,600388,600399,600410,600426,600472,600479,600531,600546,600553,600556,600570,600576,600584,600588,600603,600605,600623,600627,600628,600633,600642,600666,600667,600680,600682,600710,600721,600732,600742,600745,600767,600832,600848,600860,600862,600882,600926,600967,600984,600991,601012,601028,601099,601113,601166,601208,601216,601225,601229,601231,601313,601336,601567,601595,601718,601818,601886,601939,601958,603002,603033,603078,603079,603083,603096,603113,603128,603160,603161,603186,603189,603222,603226,603233,603238,603266,603318,603329,603338,603356,603429,603488,603499,603501,603533,603595,603606,603609,603648,603676,603677,603703,603711,603722,603737,603823,603860,603859,603880,603938


2019-8-3,000007,000015,000016,000020,000021,000023,000031,000034,000049,000151,000408,000416,000515,000520,000527,000531,000542,000543,000549,000562,000563,000567,000578,000582,000586,000589,000598,000608,000612,000622,000625,000627,000658,000666,000680,000682,000690,000691,000698,000708,000723,000787,000813,000823,000868,000897,000938,000949,000950,000972,000985,000988,000997,002001,002004,002025,002036,002045,002049,002052,002063,002084,002089,002100,002106,002108,002111,002119,002123,002124,002129,002132,002138,002141,002158,002161,002169,002179,002180,002182,002185,002199,002201,002217,002222,002236,002241,002253,002268,002281,002285,002296,002298,002299,002302,002319,002335,002352,002361,002362,002379,002385,002384,002387,002389,002396,002415,002422,002423,002447,002450,002455,002456,002463,002465,002475,002505,002521,002524,002533,002559,002560,002562,002568,002579,002583,002587,002600,002609,002617,002624,002634,002639,002641,002642,002652,002655,002656,002660,002664,002669,002686,002689,002691,002692,002697,002714,002724,002725,002729,002732,002733,002763,002785,002792,002796,002825,002835,002838,002845,002846,002850,002855,002859,002861,002868,002870,002881,002891,002892,002897,002912,300023,300024,300029,300031,300039,300059,300064,300065,300082,300088,300115,300124,300128,300133,300134,300136,300148,300151,300165,300167,300186,300193,300213,300215,300222,300226,300241,300256,300276,300277,300292,300308,300315,300316,300322,300339,300343,300353,300354,300355,300363,300369,300378,300383,300408,300416,300420,300423,300424,300433,300434,300445,300455,300462,300475,300476,300477,300480,300484,300485,300486,300488,300492,300495,300497,300499,300502,300508,300518,300528,300533,300537,300569,300570,300584,300585,300589,300602,300607,300616,300624,300632,300635,300647,300655,300661,300664,300667,300671,300679,300680,300699,300700,300703,300716,300718,300719,300735,600005,600011,600018,600025,600027,600031,600038,600069,600113,600167,600183,600193,600236,600238,600263,600267,600278,600296,600299,600309,600312,600388,600399,600403,600410,600472,600546,600553,600556,600570,600576,600584,600588,600603,600605,600623,600627,600628,600633,600642,600655,600666,600667,600680,600682,600696,600710,600721,600732,600742,600745,600767,600784,600804,600832,600835,600843,600848,600860,600862,600882,600901,600926,600967,600991,601012,601028,601099,601113,601166,601208,601225,601229,601231,601313,601607,601718,601818,603002,603008,603033,603079,603083,603110,603128,603160,603161,603186,603189,603222,603226,603233,603238,603266,603289,603303,603339,603338,603356,603429,603488,603499,603533,603595,603606,603609,603677,603711,603722,603737,603738,603773,603776,603823,603829,603860,603859,603883,603918,603936,603977
2019-8-4,000007,000015,000016,000020,000021,000023,000031,000034,000049,000151,000408,000416,000515,000520,000527,000531,000542,000543,000549,000562,000563,000567,000578,000582,000586,000589,000598,000608,000612,000622,000625,000627,000658,000666,000680,000682,000690,000691,000698,000708,000723,000787,000813,000823,000868,000897,000938,000949,000950,000972,000985,000988,000997,002001,002004,002025,002036,002045,002049,002052,002063,002084,002089,002100,002106,002108,002111,002119,002123,002124,002129,002132,002138,002141,002158,002161,002169,002179,002180,002182,002185,002199,002201,002217,002222,002236,002241,002253,002268,002281,002285,002296,002298,002299,002302,002319,002335,002352,002361,002362,002379,002384,002385,002387,002389,002396,002415,002422,002423,002447,002450,002455,002456,002463,002465,002475,002505,002521,002524,002533,002559,002560,002562,002568,002579,002583,002587,002600,002609,002617,002624,002634,002639,002641,002642,002652,002655,002656,002660,002664,002669,002686,002689,002691,002692,002697,002714,002724,002725,002729,002732,002733,002763,002785,002792,002796,002825,002835,002838,002845,002846,002850,002855,002859,002861,002868,002870,002881,002891,002892,002897,002912,300023,300024,300029,300031,300039,300059,300064,300065,300082,300088,300115,300124,300128,300133,300134,300136,300148,300151,300165,300167,300186,300193,300213,300215,300222,300226,300241,300256,300276,300277,300292,300308,300315,300316,300322,300339,300343,300354,300353,300355,300363,300369,300378,300383,300408,300416,300420,300423,300424,300433,300434,300445,300455,300462,300475,300476,300477,300480,300484,300486,300485,300488,300492,300495,300497,300499,300502,300508,300518,300528,300533,300537,300569,300570,300584,300585,300589,300602,300607,300616,300624,300632,300635,300647,300655,300661,300664,300667,300671,300680,300679,300699,300700,300703,300716,300718,300719,300735,600005,600011,600018,600025,600027,600031,600038,600069,600113,600167,600183,600193,600236,600238,600263,600267,600278,600296,600299,600309,600312,600388,600399,600403,600410,600472,600546,600553,600556,600570,600576,600584,600588,600603,600605,600623,600627,600628,600633,600642,600655,600666,600667,600680,600682,600696,600710,600721,600732,600742,600745,600767,600784,600804,600832,600835,600843,600848,600860,600862,600882,600901,600926,600967,600991,601012,601028,601099,601113,601166,601208,601225,601229,601231,601313,601607,601718,601818,603002,603008,603033,603079,603083,603110,603128,603160,603161,603186,603189,603222,603226,603233,603238,603266,603289,603303,603338,603339,603356,603429,603488,603499,603533,603595,603606,603609,603677,603711,603722,603737,603738,603773,603776,603823,603829,603859,603860,603883,603918,603936,603977
2019-8-5,000007,000015,000049,000151,000408,000515,000527,000542,000549,000562,000567,000578,000582,000590,000608,000612,000627,000658,000666,000682,000787,000813,000815,000823,000897,000938,000949,000953,000970,000972,002025,002045,002049,002063,002089,002108,002119,002123,002129,002132,002141,002156,002179,002180,002185,002199,002201,002217,002222,002236,002253,002268,002281,002285,002311,002319,002352,002376,002384,002415,002423,002447,002450,002455,002456,002505,002524,002560,002562,002568,002579,002583,002600,002609,002624,002634,002639,002642,002652,002655,002656,002664,002665,002686,002691,002692,002725,002729,002763,002785,002835,002837,002845,002846,002855,002859,002861,002868,002876,002881,002884,002897,002903,002912,300023,300064,300065,300076,300119,300124,300133,300136,300151,300186,300189,300215,300222,300223,300241,300292,300308,300307,300315,300316,300322,300339,300363,300378,300398,300433,300455,300477,300480,300484,300485,300486,300488,300495,300497,300499,300508,300518,300528,300537,300570,300585,300598,300607,300635,300647,300655,300661,300664,300671,300680,300684,300700,300706,300718,300735,600005,600011,600018,600027,600069,600127,600167,600180,600183,600193,600233,600263,600267,600278,600296,600299,600309,600312,600371,600410,600426,600472,600498,600553,600556,600584,600605,600623,600627,600628,600633,600642,600666,600680,600710,600721,600732,600742,600766,600832,600835,600882,600926,600991,601012,601099,601113,601177,601208,601225,601229,601231,601258,601313,601818,603008,603033,603083,603099,603110,603222,603233,603289,603339,603429,603533,603595,603606,603609,603711,603722,603726,603737,603738,603773,603823,603860,603859,603871,603883,603960,603977,603996
